Faculdade,Turmas,Disciplina,Q11,Q12,Q13,Q14,Q15,Q26,Q27,Q28,Q29,Q210,Q211,Q212,Q213,Q314,Q315,Q316,Q41,Q42,Q43,Q44,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58
FECOMP,2016,EDUCACAO AMBIENTAL,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,3,4,2
FECOMP,2016,EDUCACAO AMBIENTAL,3,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4
FAESA,2015,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,2,4,4,2,4,4,4,4,4,3,3,4,4,3,4,2,1,1,4,3,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4
FAESA,2017,EDUCACAO AMBIENTAL PARTICIPATIVA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,2,4,4,4,4,4
FEM,2017,ELEMENTOS DE MAQUINAS II,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
FEM,2017,ELEMENTOS DE MAQUINAS II,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,4,4
FEM,2017,ELEMENTOS DE MAQUINAS II,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,2,1,3,4,4,4,4
